indice_peak,lambda_air_nm,wave_air_cm1,EW_nm_fixed,EW_nm_auto
585,1001.383601628884,9986.183100795406,0.008989296380992922,8.69452960482346e-05
586,1002.6961198079914,9973.111297084628,0.014375166579503973,0.0
587,1005.9287135658806,9941.06228914707,0.033151708417778016,0.0871583654594802
588,1006.4784727678907,9935.63227686257,0.025031613709970132,0.0
589,1007.5705055990553,9924.86376331,0.012910470647300233,0.0
590,1008.0571682650141,9920.072308211633,0.00913443870296316,0.004413435131962312
591,1010.8458691964846,9892.705015403526,0.004301126286424672,0.0016794814489464352
592,1013.163273401093,9870.077471749395,0.011538493464671689,0.0
593,1014.0126432785866,9861.809974742724,0.009401506010419426,0.0
594,1014.3654656057073,9858.379784280913,0.026145922962011195,0.0024683915909784943
595,1014.9764668344931,9852.445181500596,0.024064478984519227,0.0
596,1015.1110269590603,9851.139170418353,0.025926850353674893,0.0
597,1016.2113543843717,9840.472611190291,0.010029550830325201,0.0
598,1018.9850805640194,9813.686373567796,0.014096061349679468,0.0
599,1021.1130306528854,9793.235126581569,0.006232136217294677,0.0
600,1021.3233864844298,9791.218072878675,0.00934404357770487,0.0
601,1024.7490882943182,9758.486359470564,0.006452785030479965,0.0007481942924847721
602,1025.3554763875431,9752.715258547469,0.009606945152467851,0.0
603,1026.01971729843,9746.40139112588,0.010153994013113711,0.0
604,1027.8813599997654,9728.749240089617,0.01151672140182742,0.0
605,1030.2562746870399,9706.322830246962,0.010815878341406005,0.0
606,1032.751191171165,9682.874331676885,0.022331747886058663,0.0
607,1033.6093483246718,9674.835097233325,0.014200326010038011,0.001521661611557266
608,1034.0403720138324,9670.802292297954,0.01288536940047601,0.0
609,1034.319395904145,9668.193441599875,0.027820033483843938,0.0
610,1034.9051064966975,9662.721671024929,0.026596045620041912,0.0
611,1035.79738468672,9654.397807757092,0.00918860532862076,0.00018832637861544428
612,1035.9335298723079,9653.12900069238,0.009034084538504041,0.0
613,1037.4316866000681,9639.188901943593,0.02526528249203815,0.020730008675702953
614,1038.4085957101906,9630.120591558449,0.014056440056432983,0.0
615,1039.1158201734881,9623.566310760647,0.006964267143577184,0.0
616,1041.846428044068,9598.343604991484,0.0074313527770489,0.00033071472228405187
617,1041.9180957016472,9597.683389178314,0.007548145160789373,5.931577206076687e-06
618,1052.7938152544236,9498.53604296046,0.008781903503061125,0.0
619,1055.140617674759,9477.409771256142,0.006171931664152008,0.0
620,1057.2944144161127,9458.103498562854,0.006952532655043362,0.0
621,1061.261159397105,9422.751328882072,0.008590793460459411,0.0
