x,y
0.6325,0.1602785
0.6625,0.1675035
0.6815,0.172266
0.6945,0.1753535
0.703,0.1773535
0.7085,0.178716
0.712,0.179716
0.715,0.1802535
0.716,0.1805535
0.717,0.180841
0.7175,0.1811035
0.7185,0.1813535
0.7175,0.1815035
0.718,0.1816035
0.718,0.1816785
0.7185,0.181716
0.7185,0.1816035
0.7185,0.1815035
0.7185,0.1815535
0.7185,0.181591
0.7185,0.1815035
0.719,0.181391
0.719,0.181316
0.7195,0.181241
0.719,0.1812535
0.719,0.1812285
0.7195,0.1812785
0.719,0.181441
0.719,0.181491
0.7185,0.1815035
0.719,0.1815285
0.719,0.181566
0.719,0.181666
0.6875,0.1561535
0.216,0.1049785
-0.0005,0.0538035
-0.129,0.0026285
-0.2555,-0.0447965
-0.3635,-0.082309
-0.4495,-0.108959
-0.5135,-0.1274965
-0.559,-0.140259
-0.591,-0.148984
-0.6125,-0.1549715
-0.628,-0.159034
-0.6385,-0.161709
-0.645,-0.163459
-0.6505,-0.164634
-0.6535,-0.1654465
-0.656,-0.166059
-0.6575,-0.166434
-0.658,-0.1665965
-0.659,-0.166759
-0.6595,-0.1668965
-0.66,-0.1668965
-0.6605,-0.1667715
-0.6605,-0.1666965
-0.66,-0.1666465
-0.6605,-0.166584
-0.6605,-0.1665465
-0.6605,-0.166459
-0.66,-0.1663465
-0.6605,-0.1662215
-0.6605,-0.166134
-0.6605,-0.1661715
-0.6605,-0.1661215
-0.6605,-0.1660465
-0.6605,-0.166034
-0.6605,-0.1661215
-0.6605,-0.166209
-0.6605,-0.166134
-0.661,-0.1659715
-0.6605,-0.165884
-0.66,-0.1658715
-0.6605,-0.165834
-0.6605,-0.165884
-0.6605,-0.140334
-0.1925,-0.089134
0.0235,-0.037934
0.162,0.013266
0.302,0.0612785
0.4185,0.0994785
0.5085,0.1260785
0.574,0.1443035
0.6205,0.156816
0.653,0.165341
0.6745,0.171091
